OrderID,Date,Customer,Product,Category,Quantity,UnitPrice,Total,Region,Status
1037,2024-04-20,UD Tani Makmur,Widget M,Electronics,12,175000,2100000,Jakarta,Pending
1038,2024-04-23,CV Kencana Sakti,Gadget N,Electronics,4,600000,2400000,Bandung,Delivered
1039,2024-04-26,PT Bumi Sejahtera,Component F,Mechanical,15,45000,675000,Surabaya,Processing
1040,2024-04-29,UD Palem Indah,Part F,Mechanical,42,16000,672000,Medan,Delivered
1041,2024-05-03,CV Teratai Putih,Widget N,Electronics,10,185000,1850000,Malang,Shipped
1042,2024-05-06,PT Bina Karya,Gadget M,Electronics,7,470000,3290000,Semarang,Delivered
1043,2024-05-09,UD Sido Makmur,Component G,Mechanical,25,32000,800000,Yogyakarta,Delivered
1044,2024-05-12,CV Tunas Harapan,Widget O,Electronics,19,115000,2185000,Jakarta,Processing
1045,2024-05-15,PT Karya Tunggal,Gadget L,Electronics,2,700000,1400000,Bandung,Delivered
1046,2024-05-18,UD Alam Sejahtera,Part G,Mechanical,30,21000,630000,Surabaya,Pending
1047,2024-05-21,CV Putra Mandiri,Widget P,Electronics,14,135000,1890000,Medan,Delivered
1048,2024-05-24,PT Sinar Jaya Abadi,Component H,Mechanical,22,40000,880000,Malang,Shipped
1049,2024-05-27,UD Karya Mandiri Sejati,Widget Q,Electronics,8,195000,1560000,Semarang,Delivered
1050,2024-05-30,CV Agung Perkasa,Gadget K,Electronics,5,560000,2800000,Yogyakarta,Delivered
1051,2024-06-02,PT Maju Terus,Part H,Mechanical,48,14000,672000,Jakarta,Processing
1052,2024-06-05,UD Sejahtera Abadi,Widget R,Electronics,17,125000,2125000,Bandung,Delivered
1053,2024-06-08,CV Bina Usaha,Gadget J,Electronics,6,530000,3180000,Surabaya,Shipped
1054,2024-06-11,PT Niaga Mandiri,Component I,Mechanical,12,48000,576000,Medan,Delivered
1055,2024-06-14,UD Cahaya Terang,Widget S,Electronics,9,165000,1485000,Malang,Delivered
1056,2024-06-17,CV Purnama Sakti,Gadget I,Electronics,4,590000,2360000,Semarang,Pending
1057,2024-06-20,PT Mega Karya,Part I,Mechanical,33,23000,759000,Yogyakarta,Delivered
1058,2024-06-23,UD Sinar Mentari,Widget T,Electronics,21,100000,2100000,Jakarta,Processing
1059,2024-06-26,CV Tiga Putra,Gadget H,Electronics,3,680000,2040000,Bandung,Delivered
1060,2024-06-29,PT Bintang Perkasa,Component J,Mechanical,27,36000,972000,Surabaya,Shipped
1061,2024-07-02,UD Mutiara Indah,Widget U,Electronics,11,140000,1540000,Medan,Delivered
1062,2024-07-05,CV Sumber Makmur,Gadget G,Electronics,8,460000,3680000,Malang,Delivered
1063,2024-07-08,PT Kencana Abadi,Part J,Mechanical,40,17000,680000,Semarang,Pending
1064,2024-07-11,UD Permata Hijau,Widget V,Electronics,15,160000,2400000,Yogyakarta,Delivered
1065,2024-07-14,CV Bumi Asri,Gadget F,Electronics,5,540000,2700000,Jakarta,Shipped
1066,2024-07-17,PT Sumber Agung Sejahtera,Component K,Mechanical,20,44000,880000,Bandung,Delivered
1067,2024-07-20,UD Bukit Indah,Widget W,Electronics,13,180000,2340000,Surabaya,Processing
1068,2024-07-23,CV Taman Sari,Gadget E,Electronics,7,500000,3500000,Medan,Delivered
1069,2024-07-26,PT Rimba Jaya,Part K,Mechanical,36,19000,684000,Malang,Delivered
1070,2024-07-29,UD Pesona Alam,Widget X,Electronics,10,155000,1550000,Semarang,Shipped
1071,2024-08-02,CV Karya Bersama,Gadget D,Electronics,6,570000,3420000,Yogyakarta,Delivered
1072,2024-08-05,PT Sinar Bulan,Component L,Mechanical,18,41000,738000,Jakarta,Pending
1073,2024-08-08,UD Bintang Terang,Widget Y,Electronics,22,110000,2420000,Bandung,Delivered
1074,2024-08-11,CV Maju Lancar,Gadget C,Electronics,4,630000,2520000,Surabaya,Processing
1075,2024-08-14,PT Usaha Jaya,Part L,Mechanical,28,24000,672000,Medan,Delivered
1076,2024-08-17,UD Bumi Makmur,Widget Z,Electronics,16,145000,2320000,Malang,Shipped
1077,2024-08-20,CV Terang Bulan,Gadget B,Electronics,3,660000,1980000,Semarang,Delivered
1078,2024-08-23,PT Karya Asri,Component M,Mechanical,24,39000,936000,Yogyakarta,Delivered
1079,2024-08-26,UD Purnama Jaya,Part M,Mechanical,45,15000,675000,Jakarta,Processing
1080,2024-08-29,CV Sumber Rezeki Abadi,Gadget A,Electronics,9,430000,3870000,Bandung,Delivered
1081,2024-09-02,PT Tunas Bangsa,Component N,Mechanical,15,48000,720000,Surabaya,Shipped
1082,2024-09-05,UD Merpati Indah,Widget AA,Electronics,12,170000,2040000,Medan,Delivered
1083,2024-09-08,CV Kencana Jaya,Gadget X,Electronics,5,460000,2300000,Malang,Pending
1084,2024-09-11,PT Harapan Indah,Part N,Mechanical,30,20000,600000,Semarang,Delivered
1085,2024-09-14,UD Cempaka Putih,Widget BB,Electronics,20,120000,2400000,Yogyakarta,Delivered
1086,2024-09-17,CV Bintang Kejora,Gadget Y,Electronics,7,510000,3570000,Jakarta,Processing
1087,2024-09-20,PT Sumber Jaya Abadi,Component O,Mechanical,22,43000,946000,Bandung,Shipped
1088,2024-09-23,UD Karya Abadi,Part O,Mechanical,35,18000,630000,Surabaya,Delivered
1089,2024-09-26,CV Mitra Abadi,Widget CC,Electronics,14,135000,1890000,Medan,Delivered
1090,2024-09-29,PT Alam Indah,Gadget Z,Electronics,4,610000,2440000,Malang,Delivered
1091,2024-10-02,UD Sumber Hidup,Component P,Mechanical,26,37000,962000,Semarang,Pending
1092,2024-10-05,CV Tunas Karya,Part P,Mechanical,40,16000,640000,Yogyakarta,Delivered
1093,2024-10-08,PT Bina Sejahtera,Widget DD,Electronics,18,125000,2250000,Jakarta,Shipped
1094,2024-10-11,UD Makmur Jaya,Gadget W,Electronics,6,540000,3240000,Bandung,Delivered
1095,2024-10-14,CV Pesona Karya,Component Q,Mechanical,20,40000,800000,Surabaya,Delivered
1096,2024-10-17,PT Sinar Mentari Abadi,Part Q,Mechanical,38,21000,798000,Medan,Processing
1097,2024-10-20,UD Teratai Bangsa,Widget EE,Electronics,11,180000,1980000,Malang,Delivered
1098,2024-10-23,CV Bumi Kencana,Gadget V,Electronics,8,490000,3920000,Semarang,Shipped
1099,2024-10-26,PT Karya Putra,Component R,Mechanical,14,46000,644000,Yogyakarta,Delivered
1100,2024-10-29,UD Subur Jaya,Part R,Mechanical,42,17000,714000,Jakarta,Delivered
